x,name,bio
http://vocab.getty.edu/ulan/500002523,"Wilson, Anne","British painter and performance artist, born 1955"
http://vocab.getty.edu/ulan/500002645,Gronk,"American muralist and painter, born 1954"
http://vocab.getty.edu/ulan/500002941,"Rauschenberg, Robert","American painter, sculptor, and photographer, 1925-2008"
http://vocab.getty.edu/ulan/500003101,"Sherman, Stuart","American performance artist and playwright, 1945-2001"
http://vocab.getty.edu/ulan/500004035,"Longo, Robert","American painter, sculptor, and performance artist, born 1953"
http://vocab.getty.edu/ulan/500004580,"Vostell, Wolf","German painter, sculptor, and video artist, 1932-1998"
http://vocab.getty.edu/ulan/500004653,"Gamboa, Harry, Jr.","American multimedia and performance artist, born 1951"
http://vocab.getty.edu/ulan/500004654,"Jenkins, Ulysses","American painter, performance and video artist, born 1946"
http://vocab.getty.edu/ulan/500005222,"Klein, Yves","French painter, sculptor, and performance artist, 1928-1962"
http://vocab.getty.edu/ulan/500006906,"Johnson, Ray","American painter, draftsman, and performance artist, 1927-1995"
http://vocab.getty.edu/ulan/500008450,"Grooms, Red","American painter, sculptor, and performance artist, born 1937"
http://vocab.getty.edu/ulan/500010153,"Atherton, Kevin","British video, performance, and installation artist, born 1950"
http://vocab.getty.edu/ulan/500011050,"Oppenheim, Dennis","American conceptual and performance artist, 1938-2011"
http://vocab.getty.edu/ulan/500011058,"Bidlo, Mike","American painter and sculptor, born 1953"
http://vocab.getty.edu/ulan/500011384,"Latham, John","British painter, sculptor, and conceptual artist, 1921-2006"
http://vocab.getty.edu/ulan/500011704,"Vautier, Ben","French painter and performance artist, born 1935"
http://vocab.getty.edu/ulan/500014537,"Chaimowicz, Marc Camille","French performance and installation artist, born 1947"
http://vocab.getty.edu/ulan/500014538,"Acconci, Vito","American performance and video artist, born 1940"
http://vocab.getty.edu/ulan/500016826,"Herrón, Willie","American muralist and performance artist, born 1951"
http://vocab.getty.edu/ulan/500021825,"Wilke, Hannah","American painter, sculptor, and performance artist, 1940-1993"
http://vocab.getty.edu/ulan/500021994,"Medalla, David","Filipino painter and installation artist, born 1942, active in Great Britain"
http://vocab.getty.edu/ulan/500022521,"Goldstein, Jack","American painter, filmmaker, and performance artist, 1945-2003"
http://vocab.getty.edu/ulan/500024444,"Burton, Scott","American sculptor and installation artist, 1939-1989 "
http://vocab.getty.edu/ulan/500024467,"Piper, Adrian","American conceptual artist, born 1948"
http://vocab.getty.edu/ulan/500024607,"Beuys, Joseph","German sculptor, performance artist, and printmaker, 1921-1986"
http://vocab.getty.edu/ulan/500024985,"Evans, Dennis","American sculptor and performance artist, born 1946"
